id_venda,id_cliente,id_produto,id_loja,data_venda,quantidade,valor_unitario,valor_total
41,424,17,7,2023-03-15,5,700.3,3501.5
42,384,13,7,2023-02-13,3,128.28,384.84
43,328,10,10,2022-08-13,2,137.9,275.8
44,219,11,1,2023-06-06,4,694.98,2779.92
45,172,17,8,2022-04-04,1,700.3,700.3
46,21,7,8,2022-04-23,2,2681.93,5363.86
47,319,14,2,2023-10-05,2,636.57,1273.14
48,351,9,3,2023-11-28,4,1294.67,5178.68
49,75,1,2,2023-09-03,1,1936.31,1936.31
50,374,10,3,2023-01-30,4,137.9,551.6
51,180,14,6,2023-09-03,4,636.57,2546.28
52,270,15,3,2023-06-26,3,1967.16,5901.48
53,415,14,10,2023-07-21,1,636.57,636.57
54,177,11,4,2023-11-28,1,694.98,694.98
55,429,18,7,2023-11-30,5,1788.33,8941.65
56,460,5,7,2022-10-01,3,2222.59,6667.77
57,423,6,2,2022-04-25,3,2046.26,6138.78
58,373,15,2,2023-03-22,2,1967.16,3934.32
59,431,14,9,2023-04-10,1,636.57,636.57
60,405,12,3,2022-09-27,5,1540.8,7704.0
61,413,20,1,2022-07-02,5,69.17,345.85
62,286,8,7,2022-04-19,3,306.47,919.41
63,133,15,1,2023-10-17,5,1967.16,9835.8
64,206,8,9,2023-09-16,2,306.47,612.94
65,485,14,6,2022-06-06,3,636.57,1909.71
66,124,18,8,2022-06-15,5,1788.33,8941.65
67,51,2,5,2023-06-28,1,123.78,123.78
68,253,1,2,2023-09-06,3,1936.31,5808.93
69,142,3,1,2023-05-16,1,861.34,861.34
70,9,8,9,2022-04-25,3,306.47,919.41
71,162,6,2,2022-11-11,2,2046.26,4092.52
72,288,14,6,2022-03-01,2,636.57,1273.14
73,252,10,4,2023-08-04,1,137.9,137.9
74,177,2,3,2022-03-29,4,123.78,495.12
75,186,18,9,2022-03-12,5,1788.33,8941.65
76,99,10,2,2022-05-09,2,137.9,275.8
77,310,13,5,2023-11-07,4,128.28,513.12
78,470,12,4,2023-07-17,2,1540.8,3081.6
79,190,3,6,2022-09-29,5,861.34,4306.7
80,389,7,7,2023-09-14,4,2681.93,10727.72
81,188,11,10,2022-08-05,5,694.98,3474.9
82,322,18,10,2023-12-08,2,1788.33,3576.66
83,466,18,4,2024-01-01,3,1788.33,5364.99
84,141,19,8,2023-02-13,3,2437.82,7313.46
85,86,13,10,2023-03-25,5,128.28,641.4
86,447,18,5,2023-04-08,1,1788.33,1788.33
87,26,4,8,2022-09-11,2,708.47,1416.94
88,143,18,3,2022-03-07,3,1788.33,5364.99
89,23,3,10,2022-01-22,5,861.34,4306.7
90,79,4,3,2023-07-22,2,708.47,1416.94
91,317,19,1,2023-08-26,2,2437.82,4875.64
92,226,6,2,2022-01-08,1,2046.26,2046.26
93,479,11,5,2023-12-26,1,694.98,694.98
94,315,5,7,2022-08-23,1,2222.59,2222.59
95,14,11,7,2022-02-02,3,694.98,2084.94
96,308,16,9,2022-03-14,5,1657.58,8287.9
97,41,11,6,2022-09-01,3,694.98,2084.94
98,89,5,8,2023-11-17,4,2222.59,8890.36
99,288,7,2,2022-08-08,5,2681.93,13409.65
100,56,6,1,2022-05-16,5,2046.26,10231.3
101,240,17,2,2023-08-14,4,700.3,2801.2
102,171,8,3,2022-09-06,4,306.47,1225.88
103,203,18,6,2023-02-21,2,1788.33,3576.66
104,291,5,9,2022-04-07,1,2222.59,2222.59
105,309,5,8,2023-11-06,4,2222.59,8890.36
106,79,2,1,2022-12-29,4,123.78,495.12
107,335,17,8,2023-02-25,4,700.3,2801.2
108,425,5,3,2022-02-25,1,2222.59,2222.59
109,299,8,6,2022-03-04,4,306.47,1225.88
110,424,12,2,2022-12-14,1,1540.8,1540.8
111,431,17,5,2022-09-12,2,700.3,1400.6
112,480,9,9,2022-07-14,5,1294.67,6473.35
113,249,5,1,2023-04-05,2,2222.59,4445.18
114,97,11,8,2023-03-09,2,694.98,1389.96
115,370,9,8,2022-10-13,4,1294.67,5178.68
116,9,19,8,2022-09-13,1,2437.82,2437.82
117,223,10,10,2023-03-30,5,137.9,689.5
118,246,3,9,2022-04-11,1,861.34,861.34
119,173,20,3,2023-10-30,5,69.17,345.85
120,392,7,2,2022-01-16,1,2681.93,2681.93
121,286,7,1,2022-08-31,2,2681.93,5363.86
122,188,8,8,2023-02-21,4,306.47,1225.88
123,320,3,4,2023-05-08,2,861.34,1722.68
124,314,10,5,2023-02-15,1,137.9,137.9
125,10,18,7,2022-06-18,4,1788.33,7153.32
126,359,4,1,2022-01-03,4,708.47,2833.88
127,116,16,9,2022-09-29,4,1657.58,6630.32
128,135,14,2,2022-10-20,4,636.57,2546.28
129,143,20,9,2023-12-15,5,69.17,345.85
130,155,20,4,2023-11-09,4,69.17,276.68
131,254,11,6,2022-06-08,2,694.98,1389.96
132,378,1,10,2022-10-31,2,1936.31,3872.62
133,12,3,8,2022-03-01,5,861.34,4306.7
134,142,1,1,2023-07-10,1,1936.31,1936.31
135,251,12,8,2022-11-18,1,1540.8,1540.8
136,340,10,8,2022-02-21,5,137.9,689.5
137,153,17,3,2023-05-04,5,700.3,3501.5
138,120,8,2,2023-06-28,2,306.47,612.94
139,291,1,4,2022-02-28,5,1936.31,9681.55
140,331,16,2,2022-03-24,2,1657.58,3315.16
141,118,1,8,2022-03-12,5,1936.31,9681.55
142,299,10,1,2022-03-11,2,137.9,275.8
143,89,6,7,2023-02-18,1,2046.26,2046.26
144,132,18,5,2023-08-07,2,1788.33,3576.66
145,158,5,6,2023-08-16,5,2222.59,11112.95
146,76,5,5,2022-02-10,5,2222.59,11112.95
147,2,11,6,2022-03-25,4,694.98,2779.92
148,346,10,2,2023-11-05,5,137.9,689.5
149,461,16,4,2023-08-02,5,1657.58,8287.9
150,463,9,9,2022-11-20,3,1294.67,3884.01
151,286,20,5,2022-07-29,3,69.17,207.51
152,479,11,3,2022-09-02,3,694.98,2084.94
153,423,3,6,2023-02-10,2,861.34,1722.68
154,385,8,3,2023-11-19,3,306.47,919.41
155,32,20,2,2023-04-14,3,69.17,207.51
156,142,17,6,2022-03-16,1,700.3,700.3
157,43,1,3,2023-04-15,5,1936.31,9681.55
158,62,5,1,2023-07-31,1,2222.59,2222.59
159,301,3,1,2022-03-17,5,861.34,4306.7
160,92,7,7,2022-08-07,5,2681.93,13409.65
161,155,17,4,2022-09-29,2,700.3,1400.6
162,445,20,1,2022-12-24,1,69.17,69.17
163,479,7,7,2022-09-08,3,2681.93,8045.79
164,431,3,3,2022-10-19,2,861.34,1722.68
165,202,6,1,2023-03-25,5,2046.26,10231.3
166,384,8,3,2023-12-22,3,306.47,919.41
167,453,16,6,2023-09-19,5,1657.58,8287.9
168,464,9,8,2022-01-09,5,1294.67,6473.35
169,345,11,3,2022-11-03,1,694.98,694.98
170,216,5,3,2022-05-18,3,2222.59,6667.77
171,68,11,3,2022-04-29,1,694.98,694.98
172,309,19,3,2023-07-21,2,2437.82,4875.64
173,75,4,10,2022-10-06,3,708.47,2125.41
174,190,9,6,2023-09-12,2,1294.67,2589.34
175,126,5,8,2022-12-18,2,2222.59,4445.18
176,217,6,2,2023-12-05,3,2046.26,6138.78
177,408,9,4,2023-06-02,4,1294.67,5178.68
178,375,11,7,2022-09-15,1,694.98,694.98
179,337,6,9,2022-04-05,4,2046.26,8185.04
180,339,5,4,2022-10-11,1,2222.59,2222.59
181,406,9,8,2022-01-04,3,1294.67,3884.01
182,338,10,4,2022-05-14,3,137.9,413.7
183,451,20,6,2022-06-15,4,69.17,276.68
184,215,15,1,2023-07-19,4,1967.16,7868.64
185,322,3,8,2023-07-29,1,861.34,861.34
186,367,18,5,2022-04-25,1,1788.33,1788.33
187,104,10,4,2023-12-09,2,137.9,275.8
188,105,17,3,2023-07-13,1,700.3,700.3
189,480,9,5,2023-01-14,5,1294.67,6473.35
190,179,5,10,2023-07-20,2,2222.59,4445.18
191,260,7,6,2023-03-17,2,2681.93,5363.86
192,33,14,6,2022-02-12,3,636.57,1909.71
193,1,19,7,2023-01-09,1,2437.82,2437.82
194,101,11,1,2023-01-02,2,694.98,1389.96
195,426,14,9,2023-11-30,2,636.57,1273.14
196,405,9,8,2023-11-14,1,1294.67,1294.67
197,84,8,9,2022-12-29,5,306.47,1532.35
198,75,6,4,2023-02-21,5,2046.26,10231.3
199,28,2,7,2022-06-08,2,123.78,247.56
200,362,6,5,2022-06-16,2,2046.26,4092.52
201,137,18,4,2023-02-27,1,1788.33,1788.33
202,390,4,3,2022-07-03,3,708.47,2125.41
203,137,5,10,2023-02-26,2,2222.59,4445.18
204,273,5,1,2022-10-01,2,2222.59,4445.18
205,233,11,6,2023-12-20,1,694.98,694.98
206,344,2,3,2023-01-27,1,123.78,123.78
207,136,3,1,2023-04-27,2,861.34,1722.68
208,312,20,4,2022-07-24,4,69.17,276.68
209,169,11,2,2022-12-25,3,694.98,2084.94
210,140,14,6,2022-08-22,2,636.57,1273.14
211,256,19,3,2022-01-25,2,2437.82,4875.64
212,489,1,5,2023-02-13,3,1936.31,5808.93
213,17,15,8,2022-10-13,1,1967.16,1967.16
214,414,19,5,2022-10-13,3,2437.82,7313.46
215,352,8,5,2023-10-19,5,306.47,1532.35
216,70,10,5,2023-02-14,5,137.9,689.5
217,107,8,4,2022-12-06,1,306.47,306.47
218,396,15,8,2022-04-29,3,1967.16,5901.48
219,327,16,5,2022-07-02,5,1657.58,8287.9
220,155,19,1,2022-09-29,1,2437.82,2437.82
221,403,4,6,2022-04-22,5,708.47,3542.35
222,315,11,10,2023-03-21,3,694.98,2084.94
223,129,16,9,2022-11-18,4,1657.58,6630.32
224,59,3,8,2023-09-13,5,861.34,4306.7
225,271,12,2,2022-04-29,4,1540.8,6163.2
226,321,12,10,2023-08-14,2,1540.8,3081.6
227,115,9,3,2022-09-18,1,1294.67,1294.67
228,184,1,8,2023-12-27,4,1936.31,7745.24
229,175,9,8,2022-01-02,5,1294.67,6473.35
230,49,19,7,2023-07-06,2,2437.82,4875.64
231,26,6,3,2023-01-08,4,2046.26,8185.04
232,57,20,1,2022-03-13,3,69.17,207.51
233,178,1,4,2023-10-01,3,1936.31,5808.93
234,178,6,5,2023-11-11,1,2046.26,2046.26
235,447,18,7,2022-11-04,5,1788.33,8941.65
236,405,11,1,2022-11-13,4,694.98,2779.92
237,214,4,2,2022-12-01,4,708.47,2833.88
238,182,4,2,2023-12-15,3,708.47,2125.41
239,308,20,3,2023-07-22,2,69.17,138.34
240,34,2,1,2022-07-16,4,123.78,495.12
241,440,1,4,2023-11-12,4,1936.31,7745.24
242,16,3,1,2023-11-25,2,861.34,1722.68
243,461,6,8,2023-09-23,5,2046.26,10231.3
244,269,6,9,2022-11-05,4,2046.26,8185.04
245,125,1,5,2023-07-16,1,1936.31,1936.31
246,389,1,6,2022-11-08,3,1936.31,5808.93
247,263,3,1,2022-08-04,4,861.34,3445.36
248,455,14,7,2023-08-17,5,636.57,3182.85
249,122,11,9,2023-11-02,3,694.98,2084.94
250,235,1,4,2023-04-22,4,1936.31,7745.24
251,410,6,6,2023-03-29,2,2046.26,4092.52
252,490,18,3,2023-06-08,4,1788.33,7153.32
253,151,12,10,2022-06-23,1,1540.8,1540.8
254,227,8,7,2022-10-18,5,306.47,1532.35
255,263,13,6,2023-11-11,5,128.28,641.4
256,231,7,5,2022-12-10,1,2681.93,2681.93
257,36,2,4,2022-08-29,3,123.78,371.34
258,287,7,5,2022-08-19,2,2681.93,5363.86
259,499,17,10,2022-05-31,1,700.3,700.3
260,366,13,5,2022-02-17,2,128.28,256.56
261,257,5,3,2023-05-02,5,2222.59,11112.95
262,300,4,9,2022-03-16,4,708.47,2833.88
263,476,11,4,2023-03-01,5,694.98,3474.9
264,401,16,9,2022-07-19,4,1657.58,6630.32
265,154,10,7,2023-05-22,4,137.9,551.6
266,444,10,5,2022-09-07,2,137.9,275.8
267,207,14,3,2023-11-03,1,636.57,636.57
268,160,5,8,2022-04-20,4,2222.59,8890.36
269,473,17,4,2022-08-13,2,700.3,1400.6
270,192,15,10,2023-12-14,5,1967.16,9835.8
271,155,4,3,2023-04-21,1,708.47,708.47
272,450,1,2,2023-07-25,2,1936.31,3872.62
273,151,19,6,2022-05-05,4,2437.82,9751.28
274,391,20,9,2022-05-17,4,69.17,276.68
275,498,9,2,2023-11-15,5,1294.67,6473.35
276,48,10,5,2023-07-27,5,137.9,689.5
277,500,15,3,2022-11-21,4,1967.16,7868.64
278,309,18,7,2023-09-20,5,1788.33,8941.65
279,471,20,1,2023-03-13,5,69.17,345.85
280,220,10,9,2023-04-02,2,137.9,275.8
281,224,8,7,2023-05-02,4,306.47,1225.88
282,293,4,2,2022-09-23,2,708.47,1416.94
283,479,15,8,2023-10-15,3,1967.16,5901.48
284,100,3,9,2023-06-18,4,861.34,3445.36
285,391,8,7,2023-10-04,2,306.47,612.94
286,416,20,9,2022-10-09,4,69.17,276.68
287,401,7,8,2022-03-21,3,2681.93,8045.79
288,192,10,4,2022-08-29,3,137.9,413.7
289,239,14,10,2022-12-10,3,636.57,1909.71
290,486,13,9,2023-07-08,1,128.28,128.28
291,183,19,6,2022-05-22,2,2437.82,4875.64
292,336,13,10,2022-08-25,4,128.28,513.12
293,459,2,9,2023-12-12,2,123.78,247.56
294,99,11,10,2023-12-25,2,694.98,1389.96
295,37,14,3,2022-03-07,4,636.57,2546.28
296,397,20,1,2023-02-22,3,69.17,207.51
297,267,6,9,2023-07-10,4,2046.26,8185.04
298,54,18,1,2023-03-02,1,1788.33,1788.33
299,34,17,8,2022-07-31,4,700.3,2801.2
300,102,8,8,2023-02-03,5,306.47,1532.35
301,219,17,3,2023-12-14,1,700.3,700.3
302,311,12,7,2023-08-13,4,1540.8,6163.2
303,140,15,3,2023-05-04,1,1967.16,1967.16
304,400,10,5,2022-12-27,3,137.9,413.7
305,390,14,5,2023-02-04,4,636.57,2546.28
306,163,15,9,2023-07-06,5,1967.16,9835.8
307,198,13,9,2023-09-10,2,128.28,256.56
308,93,4,4,2023-05-15,2,708.47,1416.94
309,439,12,1,2022-10-07,4,1540.8,6163.2
310,452,18,8,2023-05-13,1,1788.33,1788.33
311,169,13,1,2023-02-03,3,128.28,384.84
312,450,17,6,2023-11-16,4,700.3,2801.2
313,199,20,4,2022-06-19,4,69.17,276.68
314,18,20,9,2022-05-11,5,69.17,345.85
315,273,14,8,2023-07-01,1,636.57,636.57
316,13,16,4,2023-02-08,5,1657.58,8287.9
317,442,4,8,2023-08-01,1,708.47,708.47
318,236,7,9,2022-03-27,4,2681.93,10727.72
319,125,4,8,2022-05-19,4,708.47,2833.88
320,63,18,3,2022-07-06,1,1788.33,1788.33
321,4,12,9,2022-09-24,4,1540.8,6163.2
322,492,2,10,2022-12-02,2,123.78,247.56
323,156,3,4,2023-04-11,3,861.34,2584.02
324,24,9,2,2022-12-12,4,1294.67,5178.68
325,438,17,3,2022-10-12,4,700.3,2801.2
326,135,17,2,2022-09-16,1,700.3,700.3
327,228,3,7,2023-04-27,1,861.34,861.34
328,61,1,10,2023-07-07,1,1936.31,1936.31
329,44,2,1,2022-12-25,2,123.78,247.56
330,500,8,7,2023-10-28,1,306.47,306.47
331,434,19,2,2023-10-30,1,2437.82,2437.82
332,160,8,9,2022-02-01,2,306.47,612.94
333,341,17,4,2022-07-24,1,700.3,700.3
334,74,7,1,2023-09-29,2,2681.93,5363.86
335,268,9,1,2022-09-02,2,1294.67,2589.34
336,187,10,10,2023-04-30,1,137.9,137.9
337,319,7,1,2023-08-01,2,2681.93,5363.86
338,286,8,2,2023-04-22,3,306.47,919.41
339,285,16,2,2023-01-13,2,1657.58,3315.16
340,211,16,7,2023-09-13,5,1657.58,8287.9
341,177,20,5,2022-04-28,2,69.17,138.34
342,98,10,7,2022-11-15,1,137.9,137.9
343,44,6,10,2023-08-16,1,2046.26,2046.26
344,296,18,9,2022-11-16,5,1788.33,8941.65
345,227,9,9,2023-11-25,4,1294.67,5178.68
346,491,4,1,2023-02-11,2,708.47,1416.94
347,462,5,10,2022-03-19,5,2222.59,11112.95
348,85,9,1,2023-12-09,2,1294.67,2589.34
349,355,19,10,2022-04-15,3,2437.82,7313.46
350,456,13,7,2023-12-02,5,128.28,641.4
351,224,20,5,2022-05-04,5,69.17,345.85
352,32,12,2,2022-02-12,3,1540.8,4622.4
353,482,8,1,2023-06-30,4,306.47,1225.88
354,105,6,4,2023-11-09,3,2046.26,6138.78
355,48,13,2,2022-03-12,5,128.28,641.4
356,83,9,4,2023-10-26,3,1294.67,3884.01
357,95,2,6,2022-01-13,4,123.78,495.12
358,76,19,2,2023-05-17,1,2437.82,2437.82
359,46,9,5,2023-03-20,3,1294.67,3884.01
360,79,6,8,2023-10-13,4,2046.26,8185.04
361,121,12,2,2023-12-26,2,1540.8,3081.6
362,154,1,6,2023-03-22,2,1936.31,3872.62
363,212,19,8,2023-06-19,3,2437.82,7313.46
364,482,9,9,2023-09-23,5,1294.67,6473.35
365,369,7,6,2023-05-11,4,2681.93,10727.72
366,175,12,10,2023-03-23,5,1540.8,7704.0
367,415,12,5,2022-10-02,3,1540.8,4622.4
368,203,3,10,2022-09-09,1,861.34,861.34
369,340,14,3,2022-10-13,4,636.57,2546.28
370,273,7,8,2022-09-07,4,2681.93,10727.72
371,73,12,1,2023-08-07,5,1540.8,7704.0
372,340,14,6,2023-11-16,4,636.57,2546.28
373,13,12,10,2022-12-11,1,1540.8,1540.8
374,322,14,5,2023-05-22,3,636.57,1909.71
375,454,7,10,2022-07-06,4,2681.93,10727.72
376,495,1,6,2022-08-06,3,1936.31,5808.93
377,407,5,10,2022-09-22,3,2222.59,6667.77
378,438,20,5,2022-10-14,5,69.17,345.85
379,284,9,4,2023-12-20,3,1294.67,3884.01
380,48,9,4,2023-07-24,1,1294.67,1294.67
381,189,2,4,2023-06-14,2,123.78,247.56
382,473,4,9,2022-03-29,2,708.47,1416.94
383,241,12,3,2023-02-21,4,1540.8,6163.2
384,456,5,8,2023-07-23,2,2222.59,4445.18
385,293,10,6,2023-12-09,4,137.9,551.6
386,238,17,4,2023-10-24,4,700.3,2801.2
387,32,3,1,2023-04-04,1,861.34,861.34
388,59,16,6,2022-04-06,3,1657.58,4972.74
389,457,20,1,2022-08-15,4,69.17,276.68
390,37,7,4,2023-12-10,2,2681.93,5363.86
391,140,20,9,2022-11-10,5,69.17,345.85
392,126,16,8,2023-01-13,4,1657.58,6630.32
393,308,7,1,2023-07-21,5,2681.93,13409.65
394,457,17,3,2022-12-19,4,700.3,2801.2
395,209,7,1,2023-07-18,3,2681.93,8045.79
396,149,13,10,2022-12-27,4,128.28,513.12
397,163,16,4,2022-10-05,3,1657.58,4972.74
398,323,20,4,2022-09-15,2,69.17,138.34
399,30,14,7,2022-05-04,2,636.57,1273.14
400,354,7,8,2022-11-20,1,2681.93,2681.93
401,267,19,9,2023-07-03,2,2437.82,4875.64
402,450,8,2,2022-07-16,2,306.47,612.94
403,15,11,5,2023-05-11,3,694.98,2084.94
404,333,12,10,2023-08-27,5,1540.8,7704.0
405,348,4,9,2023-09-04,3,708.47,2125.41
406,199,2,9,2022-04-13,2,123.78,247.56
407,492,11,6,2022-10-31,2,694.98,1389.96
408,76,18,4,2023-01-05,2,1788.33,3576.66
409,488,13,2,2022-11-06,1,128.28,128.28
410,316,16,2,2023-12-27,5,1657.58,8287.9
411,442,19,10,2022-05-10,3,2437.82,7313.46
412,172,3,10,2022-02-16,1,861.34,861.34
413,197,1,3,2023-07-21,3,1936.31,5808.93
414,310,8,8,2023-12-16,2,306.47,612.94
415,225,3,8,2023-10-16,4,861.34,3445.36
416,393,20,5,2022-04-16,1,69.17,69.17
417,271,19,4,2023-08-11,3,2437.82,7313.46
418,257,16,9,2023-04-26,4,1657.58,6630.32
419,296,1,4,2023-03-28,3,1936.31,5808.93
420,57,17,6,2022-07-08,1,700.3,700.3
421,33,5,6,2022-09-16,4,2222.59,8890.36
422,77,13,6,2022-04-27,1,128.28,128.28
423,333,13,4,2023-02-15,4,128.28,513.12
424,31,8,5,2022-03-17,5,306.47,1532.35
425,158,14,9,2023-10-07,1,636.57,636.57
426,442,14,7,2022-06-05,2,636.57,1273.14
427,119,7,1,2023-07-31,3,2681.93,8045.79
428,442,2,1,2022-03-29,2,123.78,247.56
429,388,2,5,2022-05-02,5,123.78,618.9
430,11,3,7,2023-03-03,5,861.34,4306.7
431,152,3,9,2023-09-03,5,861.34,4306.7
432,140,1,5,2022-08-20,5,1936.31,9681.55
433,16,16,10,2023-01-25,4,1657.58,6630.32
434,363,14,9,2023-03-30,3,636.57,1909.71
435,71,7,8,2023-08-26,4,2681.93,10727.72
436,307,4,1,2022-11-09,5,708.47,3542.35
437,111,11,10,2023-09-28,1,694.98,694.98
438,375,13,10,2023-09-17,1,128.28,128.28
439,435,3,1,2022-08-01,2,861.34,1722.68
440,91,20,7,2022-09-28,1,69.17,69.17
441,48,20,5,2022-06-10,2,69.17,138.34
442,246,8,2,2022-06-27,5,306.47,1532.35
443,188,16,8,2022-03-18,2,1657.58,3315.16
444,335,15,7,2022-01-03,4,1967.16,7868.64
445,291,1,4,2023-04-07,5,1936.31,9681.55
446,467,1,5,2023-04-27,3,1936.31,5808.93
447,170,6,2,2022-02-03,2,2046.26,4092.52
448,321,14,8,2022-10-23,3,636.57,1909.71
449,161,8,8,2023-12-21,4,306.47,1225.88
450,284,19,8,2022-03-14,2,2437.82,4875.64
451,275,19,5,2022-09-28,5,2437.82,12189.1
452,225,14,3,2023-11-09,2,636.57,1273.14
453,347,5,6,2023-03-12,1,2222.59,2222.59
454,345,7,9,2023-07-12,2,2681.93,5363.86
455,38,13,6,2023-10-26,2,128.28,256.56
456,256,1,6,2022-09-30,2,1936.31,3872.62
457,264,15,5,2022-03-15,1,1967.16,1967.16
458,266,15,8,2022-06-19,3,1967.16,5901.48
459,477,18,5,2023-09-02,5,1788.33,8941.65
460,129,12,9,2022-10-23,4,1540.8,6163.2
461,22,19,5,2022-05-08,4,2437.82,9751.28
462,78,19,2,2023-12-07,3,2437.82,7313.46
463,492,12,3,2023-12-18,4,1540.8,6163.2
464,429,7,8,2022-10-06,5,2681.93,13409.65
465,260,2,4,2023-07-07,4,123.78,495.12
466,320,1,2,2023-03-25,1,1936.31,1936.31
467,215,17,2,2023-09-05,1,700.3,700.3
468,101,5,3,2023-03-19,3,2222.59,6667.77
469,497,16,3,2023-09-11,3,1657.58,4972.74
470,145,7,7,2022-01-27,1,2681.93,2681.93
471,395,3,2,2022-08-23,5,861.34,4306.7
472,383,20,10,2023-08-25,1,69.17,69.17
473,387,10,7,2023-11-20,3,137.9,413.7
474,268,3,8,2023-08-14,1,861.34,861.34
475,212,13,5,2022-06-29,4,128.28,513.12
476,167,13,7,2023-06-16,4,128.28,513.12
477,487,1,3,2022-10-12,2,1936.31,3872.62
478,478,6,4,2023-08-23,4,2046.26,8185.04
479,90,10,2,2023-10-13,4,137.9,551.6
480,82,11,3,2022-04-04,4,694.98,2779.92
481,58,14,10,2022-12-23,4,636.57,2546.28
482,454,12,2,2022-12-08,3,1540.8,4622.4
483,382,9,10,2023-11-18,1,1294.67,1294.67
484,445,14,7,2022-06-14,3,636.57,1909.71
485,479,16,3,2023-02-26,4,1657.58,6630.32
486,347,12,1,2022-10-23,4,1540.8,6163.2
487,467,3,2,2023-07-18,1,861.34,861.34
488,462,19,1,2023-04-11,1,2437.82,2437.82
489,194,15,2,2022-11-19,3,1967.16,5901.48
490,134,6,4,2022-11-28,1,2046.26,2046.26
491,462,6,5,2023-02-18,5,2046.26,10231.3
492,486,9,3,2022-01-02,5,1294.67,6473.35
493,13,13,10,2023-04-19,4,128.28,513.12
494,163,1,6,2022-02-25,2,1936.31,3872.62
495,303,5,7,2023-06-15,3,2222.59,6667.77
496,347,5,6,2023-09-30,4,2222.59,8890.36
497,213,7,6,2023-10-03,4,2681.93,10727.72
498,340,12,9,2022-02-22,2,1540.8,3081.6
499,103,11,5,2022-10-01,5,694.98,3474.9
500,158,10,8,2022-05-15,3,137.9,413.7
501,99,18,1,2023-03-25,4,1788.33,7153.32
502,378,10,9,2022-05-05,1,137.9,137.9
503,283,1,10,2023-10-08,5,1936.31,9681.55
504,53,17,3,2022-09-03,2,700.3,1400.6
505,36,6,10,2022-11-15,5,2046.26,10231.3
506,171,4,10,2022-01-15,5,708.47,3542.35
507,97,10,7,2023-02-22,1,137.9,137.9
508,468,4,6,2022-08-19,1,708.47,708.47
509,495,2,1,2023-04-18,1,123.78,123.78
510,46,15,3,2023-10-26,2,1967.16,3934.32
511,91,13,4,2023-05-26,3,128.28,384.84
512,74,15,2,2023-06-06,3,1967.16,5901.48
513,271,6,6,2023-03-02,4,2046.26,8185.04
514,452,1,4,2023-04-29,2,1936.31,3872.62
515,392,13,1,2023-04-13,5,128.28,641.4
516,60,8,7,2022-05-29,4,306.47,1225.88
517,475,17,4,2022-07-15,5,700.3,3501.5
518,293,17,4,2023-06-05,2,700.3,1400.6
519,104,1,2,2022-03-13,3,1936.31,5808.93
520,254,3,5,2023-03-01,3,861.34,2584.02
521,117,14,8,2023-06-04,3,636.57,1909.71
522,178,6,6,2022-01-03,3,2046.26,6138.78
523,97,7,1,2022-11-02,5,2681.93,13409.65
524,228,8,2,2023-08-17,4,306.47,1225.88
525,429,11,2,2022-06-02,4,694.98,2779.92
526,493,13,3,2023-07-06,4,128.28,513.12
527,108,6,5,2022-12-20,3,2046.26,6138.78
528,241,12,10,2023-07-20,5,1540.8,7704.0
529,426,5,7,2023-01-22,4,2222.59,8890.36
530,430,19,10,2022-11-26,2,2437.82,4875.64
